structure_id,id_type,standpipe_status,standpipe_casefile,fire_alarm_status,fire_alarm_casefile,smoke_control_status,smoke_control_casefile,pier_status,pier_casefile,fire_escape_status,fire_escape_casefile,private_bridge_status,private_bridge_casefile,emer_stdby_pwr_sys_status,emer_stdby_pwr_sys_casefile,special_hazards_status,special_hazards_casefile,facade_status,facade_casefile,sprinkler_status,sprinkler_casefile,damper_status,damper_casefile,objectid
1004398,BIN,,,,,,,,,,,,,,,,,,,Active,,,,1
1068067,BIN,,,Expired,,,,,,,,,,,,,,,,Active,,,,2
1420302,BIN,,,,,,,,,Active,,,,,,,,,,,,,,3
1380731,BIN,,,,,,,,,,,,,,,Active,,,,,,,,4
1538925,BIN,,,Active,,,,,,,,,,Active,,Active,,,,Active,,,,5
1542291,BIN,,,Deficient,CF-2025-091827,,,,,,,,,,,Active,,,,,,,,6
1511532,BIN,,,Active,,,,,,,,,,Active,,Active,,Active,,Active,,,,7
1535059,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,8
1059343,BIN,,,,,,,,,,,,,,,,,,,Active,,,,9
1094257,BIN,,,Expired,,,,,,,,,,,,Active,,,,Expired,,,,10
1115083,BIN,,,Active,,,,,,,,,,,,Active,,,,,,,,11
1054498,BIN,,,,,,,,,,,,,,,Expired,,,,,,,,12
1051984,BIN,,,Active,,,,,,,,,,,,,,,,,,,,13
1425394,BIN,,,Active,,,,,,,,,,,,Expired,,,,Active,,,,14
1216281,BIN,,,,,,,,,,,,,Expired,CF-2025-055875,,,,,Deficient,CF-2025-055875,,,15
1282349,BIN,,,Expired,,,,,,,,,,Active,,,,Active,,Expired,,,,16
1052220,BIN,,,,,,,,,,,,,,,,,,,Expired,,,,17
1282921,BIN,,,Active,,,,,,,,,,,,,,,,,,,,18
1475041,BIN,,,Active,,,,,,,,,,,,,,,,Active,,,,19
1179174,BIN,,,Active,,,,,,,,,,,,,,,,,,,,20
1480683,BIN,,,Active,,,,,,,,,,Active,,Expired,,,,,,,,21
1492075,BIN,,,Active,,,,,,,,,,Active,,,,,,,,,,22
1386818,BIN,,,Active,,,,,,,,,,,,,,,,,,,,23
1105357,BIN,,,Active,,,,,,,,,,,,,,,,,,,,24
1237560,BIN,,,Deficient,,,,,,,,,,Active,,Active,,,,Expired,,,,25
1211783,BIN,,,Expired,,,,,,,,,,Expired,,,,,,,,,,26
1241955,BIN,,,Active,,,,,,,,,,Active,,,,,,,,,,27
1508417,BIN,,,Expired,,,,,,,,,,,,Active,,,,Active,,,,28
1459555,BIN,,,Active,,,,,,,,,,,,Expired,,,,,,,,29
1481957,BIN,,,Expired,,,,,,,,,,,,Active,,,,,,,,30
1318039,BIN,,,Active,,,,,,,,,,,,,,,,,,,,31
1303992,BIN,,,Deficient,CF-2025-014356,,,,,,,,,,,,,,,Deficient,CF-2025-014356,,,32
1183089,BIN,,,Active,,,,,,,,,,,,Active,,,,Active,,,,33
1381087,BIN,,,Expired,CF-2025-019502,,,,,,,,,,,,,Active,,Deficient,CF-2025-019502,,,34
1404486,BIN,,,Expired,,,,,,,,,,Expired,,,,,,,,,,35
1498709,BIN,,,Active,,,,,,,,,,Expired,,Expired,,,,,,,,36
1413808,BIN,,,Active,,,,,,,,,,Active,,,,,,,,,,37
1398061,BIN,,,Active,,,,,,Expired,CF-2022-083565,,,Expired,,Active,,,,Active,,,,38
1455579,BIN,,,Active,,,,,,,,,,,,,,,,Expired,,,,39
1109237,BIN,,,Active,,,,,,,,,,Expired,,,,,,,,,,40
1040422,BIN,,,Expired,,,,,,,,,,,,,,,,Expired,,,,41
1544391,BIN,,,,,,,,,,,,,,,,,,,Active,,,,42
1003584,BIN,,,Active,,,,,,,,,,,,,,,,Expired,,,,43
1083974,BIN,,,,,,,,,,,,,,,,,,,Active,,,,44
1015663,BIN,,,Expired,,,,,,,,,,,,,,,,Active,,,,45
1545323,BIN,,,,,,,,,,,,,,,Active,,Expired,,Expired,,,,46
1432016,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,47
1456210,BIN,,,Expired,,,,,,,,,,Expired,,,,,,,,,,48
1107418,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,49
1365351,BIN,,,Active,,,,,,,,,,Active,,Active,,Active,,Active,,,,50
1546486,BIN,,,Active,,,,,,,,,,Expired,,Active,,,,Active,,,,51
1143959,BIN,,,Expired,,,,,,,,,,,,Active,,,,,,,,52
1442564,BIN,,,,,,,,,,,,,,,Active,,,,,,,,53
1550535,BIN,,,,,,,,,,,,,,,Active,,,,,,,,54
1540082,BIN,Expired,,Expired,,,,,,,,,,,,Expired,,,,Expired,,,,55
1509712,BIN,,,Expired,,,,,,,,,,,,Active,,Active,,Expired,,,,56
1506703,BIN,,,Expired,,,,,,,,,,,,,,Expired,CF-2023-112622,Deficient,,,,57
1404194,BIN,,,Active,,,,,,,,,,,,,,,,,,,,58
1013346,BIN,,,Active,,,,,,,,,,,,,,,,,,,,59
1182938,BIN,,,Active,,,,,,,,,,,,,,,,,,,,60
1547889,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,61
1144801,BIN,,,Expired,,,,,,Active,,,,,,,,,,,,,,62
1445965,BIN,,,Active,,,,,,,,,,Active,,Expired,,Active,,Deficient,CF-2025-110457,,,63
1128106,BIN,,,Active,,,,,,,,,,,,Expired,,,,Active,,,,64
1484689,BIN,,,Active,,,,,,,,,,Active,,Active,,Active,,Deficient,CF-2025-091773,,,65
1540745,BIN,,,Active,,,,,,,,,,Expired,,Active,,,,,,,,66
1450293,BIN,,,Active,,,,,,,,,,,,Active,,,,,,,,67
1333660,BIN,,,Active,,,,,,,,,,Active,,,,,,,,,,68
1419005,BIN,,,Active,,,,,,,,,,,,,,,,Expired,,,,69
1529916,BIN,,,Active,,,,,,,,,,Active,,Active,,,,Active,,,,70
1071440,BIN,,,Active,,,,,,,,,,,,,,,,Expired,,,,71
1067908,BIN,,,,,,,,,,,,,,,,,,,,,,,72
1152514,BIN,,,Expired,,,,,,Active,,,,Expired,,,,,,,,,,73
1355789,BIN,,,Active,,,,,,,,,,,,,,,,,,,,74
1211896,BIN,,,,,,,,,,,,,,,,,,,Expired,,,,75
1531649,BIN,,,,,,,,,,,,,,,,,,,Expired,,,,76
1114507,BIN,,,Active,,,,,,,,,,,,,,,,,,,,77
1067746,BIN,,,,,,,,,,,,,,,,,,,Expired,,,,78
1124853,BIN,,,Active,,,,,,,,,,,,,,,,,,,,79
1549068,BIN,,,,,,,,,,,,,,,,,,,Active,,,,80
1538189,BIN,,,Expired,,,,,,,,,,,,,,,,Expired,,,,81
1039254,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,82
1472615,BIN,,,Deficient,CF-2025-110107,,,,,,,,,Expired,CF-2025-110107,Deficient,CF-2025-110107,Expired,,Active,,,,83
1139957,BIN,,,Active,,,,,,,,,,,,,,,,Active,,,,84
1505010,BIN,,,Active,,,,,,,,,,,,,,,,,,,,85
1205017,BIN,,,Active,,,,,,,,,,Active,,Active,,,,Active,,,,86
1020255,BIN,,,Active,,,,,,,,,,,,Active,,,,,,,,87
3000334,BIN,,,Active,,,,,,,,,,,,,,,,Active,,,,88
1114235,BIN,,,Active,,,,,,,,,,,,,,,,,,,,89
1158352,BIN,,,Active,,,,,,,,,,,,,,,,Active,,,,90
1443857,BIN,,,Active,,,,,,Active,,,,Active,,Active,,,,Active,,,,91
1515382,BIN,,,,,,,,,,,,,Expired,,,,,,Active,,,,92
1183714,BIN,,,Active,,,,,,,,,,,,Active,,,,,,,,93
1503756,BIN,,,Active,,,,,,,,,,,,,,,,Active,,,,94
1230761,BIN,,,,,,,,,,,,,,,,,,,Expired,,,,95
1030196,BIN,,,Active,,,,,,,,,,,,,,,,Expired,,,,96
1545320,BIN,,,Active,,Active,,,,,,,,Active,,Active,,Active,,Active,,Active,,97
1062417,BIN,Expired,,Active,,,,,,,,,,,,Active,,,,Active,,,,98
1216295,BIN,,,Deficient,,,,,,,,,,,,,,,,Expired,,,,99
1110562,BIN,,,Active,,,,,,,,,,,,,,,,Active,,,,100
1095736,BIN,,,Active,,,,,,Expired,,,,,,,,,,,,,,101
1541624,BIN,,,Active,,,,,,,,,,,,,,,,Deficient,CF-2025-027848,,,102
1439069,BIN,,,Active,,,,,,,,,,,,,,,,Active,,,,103
1475401,BIN,,,Active,,,,,,,,,,,,,,,,Expired,,,,104
1023966,BIN,,,Expired,,,,,,,,,,,,,,,,Deficient,CF-2025-034508,,,105
1421448,BIN,,,Active,,,,,,,,,,,,,,,,Active,,,,106
1042156,BIN,,,Active,,,,,,,,,,Active,,,,,,,,,,107
1438171,BIN,,,Expired,,,,,,,,,,,,Expired,,,,Deficient,,,,108
1004680,BIN,,,Active,,,,,,,,,,,,,,,,Expired,,,,109
1287373,BIN,,,Expired,,,,,,,,,,,,,,,,Expired,,,,110
1341632,BIN,,,Active,,,,,,,,,,,,,,,,,,,,111
1087126,BIN,,,Active,,,,,,,,,,,,Active,,,,,,,,112
1204141,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,113
1489946,BIN,,,Active,,,,,,,,,,,,,,,,Active,,,,114
1239450,BIN,,,Active,,,,,,,,,,Active,,,,,,,,,,115
1417425,BIN,,,Active,,,,,,,,,,Active,,Active,,Active,,Expired,,Active,,116
1413388,BIN,,,Active,,,,,,,,,,,,Expired,,,,,,,,117
