objectid,firesta_,eng,lad,bc,med,spcl,spcl2,spcl3,location,rad,active,lon,lat
1,45,45,14,0,25, , , ,N 26TH ST & W YORK ST,S, ,-75.17465198,39.9921527
2,34,34,0,0,36, ,PIPE, ,N 28TH ST & W THOMPSON ST,S, ,-75.18119628,39.97620179
3,49,49,0,0,11, ,PIPE, ,S 13TH ST & SHUNK ST,S, ,-75.16924539,39.91779294
4,54,54,0,0,41B, , , ,N 63RD ST & LANCASTER AVE,S, ,-75.24696877,39.98469625
5,66,66,0,0,0, , , ,RIDGE AVE & SHAWMONT AVE,N, ,-75.23655949,40.05228406
6,37,37,0,0,0, , , ,W HIGHLAND AVE & SHAWNEE ST,N, ,-75.20812884,40.07472281
7,63,63,0,0,0, , , ,1210 OAK LN,N, ,-75.13822733,40.05461406
8,64,64,0,0,0, , , ,RISING SUN AVE & BENNER ST,N, ,-75.09953853,40.0464995
9,56,56,0,0,48B, , , ,RHAWN ST & VERREE RD,N, ,-75.07653046,40.07304479
10,58,58,0,0,0, , , ,812 HENDRIX ST,N, ,-75.01716842,40.11835641
11,39,0,30,0,5, , , ,RIDGE AVE & CINNAMINSON ST,N, ,-75.2246363,40.03965993
12,53,53,27,0,43B, , , ,S 4TH ST & SNYDER AVE,S, ,-75.15369296,39.9221272
13,78,78,0,0,30, , , ,2 PIA WAY,S, ,-75.2327548,39.86689719
14,41,41,24,0,23, ,DL, ,N 61ST ST & W THOMPSON ST,S, ,-75.24067021,39.97113926
15,35,35,25,0,16, , , ,RIDGE AVE & MIDVALE AVE,N, ,-75.19454533,40.00893092
16,73,73,0,0,33, , , ,76TH AVE & OGONTZ AVE,N, ,-75.15675106,40.06989238
17,51,51,29,2,18, , , ,5931 OLD YORK RD,N, ,-75.1443075,40.0443188
18,61,61,0,0,29, ,PIPE, ,RISING SUN AVE & E SOMERVILLE AVE,N, ,-75.11766311,40.03150696
19,50,50,12,8,22, ,PIPE, ,N PARK AVE & W CAMBRIA ST,N, ,-75.15251948,39.99705987
20,15,0,0,0,0,MU-1,PIPE,MA-1,S DELAWARE AVE & WASHINGTON AVE,S, ,-75.1423015,39.93337306
21,52,52,0,0,32, ,PIPE, ,JACKSON ST & VAN KIRK ST,N, ,-75.06331029,40.01837903
22,70,70,0,0,42B,D2HQ, , ,FOULKROD ST & LANGDON ST,N, ,-75.09808947,40.02874759
23,36,36,20,0,17, , , ,7818 FRANKFORD AVE,N, ,-75.03105176,40.04071195
24,62,62,34,0,6, , , ,BUSTLETON AVE & BOWLER ST,N, ,-75.03229006,40.09112291
25,46,46,0,13,49B,GF-3, ,MA-46,FRANKFORD AVE & LINDEN AVE,N, ,-75.00496192,40.05435244
26,47,47,0,0,40,D1HQ,SQUAD, ,3031 GRAYS FERRY AVE,S, ,-75.19422205,39.93939318
27,69,69,0,0,0,GF1,QUINT, ,8140 BARTRAM AVE,S, ,-75.23851444,39.89349309
28,33,33,0,0,0, ,FOAM, ,RICHMOND ST & KIRKBRIDE ST,N, ,-75.06600151,40.00142543
29,44,44,0,0,34, , , ,3420 HAVERFORD AVE,S, ,-75.19263953,39.96382799
30,60,60,19,0,37,HAZMT,FOAM, ,S 24TH ST & RITNER ST,S, ,-75.18655682,39.92312701
31,29,29,0,0,15,R-1, , ,N 4TH ST & W GIRARD AVE,S, ,-75.14336395,39.96974641
32,68,68,13,7,3,MD13, , ,S 52ND ST & WILLOWS AVE,S, ,-75.22501763,39.94602695
33,55,55,22,0,39,MD-22,SQRT,LT,N FRONT ST & W LUZERNE ST,N, ,-75.12706268,40.01109716
34,38,38,0,0,0, , , ,KEYSTONE ST & MAGEE AVE,N, ,-75.04537241,40.02023012
35,43,43,9,0,7, ,SQRT, ,2110 MARKET ST,S, ,-75.17560763,39.9535953
36,57,57,0,0,9B, ,SQRT, ,S 56TH ST & CHESTNUT ST,S, ,-75.23289598,39.95967244
37,72,72,0,0,24, ,SQUAD, ,1127 W LOUDEN ST,N, ,-75.14323705,40.02579505
38,71,71,28,12,12, , ,SNORK,LORETTO AVE & COTTMAN AVE,N, ,-75.06767043,40.05179124
39,40,40,4,0,19, ,PIPE, ,S 65TH ST & WOODLAND AVE,S, ,-75.2339074,39.92555471
40,59,59,18,0,4B, ,DL, ,W HUNTING PARK AVE & SCHUYLER ST,N, ,-75.16477736,40.01118649
41,1,0,5,1,35B, , ,SNORK,711 S BROAD ST,S, ,-75.16548597,39.94220407
42,2,2,3,0,31, , , ,2426 N 2ND ST,S, ,-75.13590434,39.98750702
43,3,3,0,0,0, ,PIPE, ,E MOYAMENSING AVE & WASHINGTON AVE,S, ,-75.14790235,39.93352301
44,5,5,6,11,0, ,PIPE,LT,N 43RD ST & MARKET ST,S, ,-75.20758744,39.95823514
45,6,0,16,0,46B,AU-2, , ,BELGRADE ST & E HUNTINGDON ST,S, ,-75.11833479,39.97883214
46,7,7,10,10,2,FCOM1, , ,KENSINGTON AVE & CASTOR AVE,N, ,-75.09985066,40.0041685
47,8,0,2,4,44B, , ,SNORK,N 4TH ST & ARCH ST,S, ,-75.14657241,39.95257249
48,9,9,21,0,10, ,SQRT, ,GERMANTOWN AVE & CARPENTER LN,N, ,-75.1873086,40.05491273
49,10,10,0,0,27, , , ,S 12TH ST & REED ST,S, ,-75.16377215,39.9326871
50,11,11,0,0,21, , , ,S 6TH ST & SOUTH ST,S, ,-75.15252444,39.94219915
51,12,12,0,0,0, , , ,4445 MAIN ST,N, ,-75.2264257,40.02676861
52,13,13,0,0,50B,AU-1, , ,1541 PARRISH ST,S, ,-75.16299867,39.96952565
53,14,0,15,0,47B, , , ,FOULKROD ST & DARRAH ST,N, ,-75.08134754,40.01697825
54,16,16,0,0,26, , , ,BELMONT AVE & VIOLA ST,S, ,-75.21278495,39.97675899
55,18,18,0,0,38, ,FOAM, ,8205 E ROOSEVELT BLVD,N, ,-75.04349169,40.05980322
